time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-03-06 09:30:00-05:00,MLTrader,LUV,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,LUV,sell,market,fill,1,gtc,0.0,1,stock,43.560001373291016,1110,0.0
2020-03-12 09:30:00-04:00,MLTrader,LUV,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,LUV,buy,limit,fill,1,day,0.0,1,stock,36.04800109863282,1110,0.0
2020-03-13 09:30:00-04:00,MLTrader,LUV,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-13 09:30:00-04:00,MLTrader,LUV,sell,market,fill,1,gtc,0.0,1,stock,39.189998626708984,1377,0.0
2020-03-17 09:30:00-04:00,MLTrader,LUV,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,LUV,sell,market,fill,1,gtc,0.0,1,stock,38.209999084472656,2223,0.0
2020-03-18 09:30:00-04:00,MLTrader,LUV,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,LUV,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,LUV,buy,limit,fill,1,day,0.0,1,stock,31.46400146484375,1377,0.0
2020-03-18 09:30:00-04:00,MLTrader,LUV,sell,market,fill,1,gtc,0.0,1,stock,35.779998779296875,3235,0.0
2020-03-18 09:30:00-04:00,MLTrader,LUV,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,LUV,buy,limit,fill,1,day,0.0,1,stock,29.200000000000003,2223,0.0
2020-03-19 09:30:00-04:00,MLTrader,LUV,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-19 09:30:00-04:00,MLTrader,LUV,buy,limit,fill,1,day,0.0,1,stock,30.567999267578127,3235,0.0
2020-03-23 09:30:00-04:00,MLTrader,LUV,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 09:30:00-04:00,MLTrader,LUV,sell,market,fill,1,gtc,0.0,1,stock,31.690000534057617,2431,0.0
2020-03-24 09:30:00-04:00,MLTrader,LUV,buy,limit,canceled,1,day,0.0,1,stock,,,
