time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-18 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,283.1099853515625,178,0.0
2023-01-19 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,276.2200012207031,266,0.0
2023-01-20 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,276.7900085449219,405,0.0
2023-01-23 08:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-23 08:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,290.03100128173827,405,0.0
2023-01-26 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,291.2200012207031,385,0.0
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,297.26548461914064,266,0.0
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,294.8084884643555,178,0.0
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,297.95848846435547,385,0.0
2023-02-10 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-10 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,299.4800109863281,137,0.0
2023-05-03 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-03 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,319.75,195,0.0
2023-05-04 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-04 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,317.05999755859375,294,0.0
2023-05-05 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,318.4700012207031,443,0.0
2023-05-10 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-10 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,324.2819961547852,137,0.0
2023-05-11 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-05-11 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,325.70001220703125,583,0.0
2023-05-18 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,332.9129974365234,443,0.0
2023-05-18 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,335.7375,294,0.0
2023-05-22 08:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-22 08:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,338.2259948730469,195,0.0
2023-05-25 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-25 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,340.3259948730469,583,0.0
2023-08-14 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,365.42999267578125,78,0.0
2023-10-27 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-27 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,346.42999267578125,122,0.0
2023-11-03 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,366.5759948730469,122,0.0
2023-11-14 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,384.28948974609375,78,0.0
2023-12-11 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-11 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,391.739990234375,68,0.0
2023-12-19 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,408.1035140991211,68,0.0
