time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-12-03 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2020-12-03 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,304.1700134277344,66,0.0
2020-12-04 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2020-12-04 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,304.3299865722656,79,0.0
2020-12-04 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-12-04 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,305.2725,66,0.0
2020-12-07 08:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-12-07 08:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,307.2117135620117,79,0.0
2021-04-30 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-04-30 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,337.70001220703125,58,0.0
2021-05-20 09:30:00-04:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-05-20 09:30:00-04:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,324.1199951171875,75,0.0
2021-05-21 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-05-21 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,330.42999267578125,75,0.0
2021-06-17 09:30:00-04:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-06-17 09:30:00-04:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,345.7936950683594,58,0.0
2021-12-16 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-16 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,398.0400085449219,51,0.0
2021-12-17 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2021-12-17 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,383.3299865722656,60,0.0
2021-12-22 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-12-22 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,391.8194024658203,51,0.0
2021-12-27 08:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-12-27 08:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,402.0204086303711,60,0.0
2022-01-07 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,384.0299987792969,51,0.0
2022-01-12 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-12 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,388.4599914550781,51,0.0
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-11 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,358.42999267578125,54,0.0
2022-02-17 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-17 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,352.739990234375,66,0.0
2022-02-18 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-18 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,346.4100036621094,80,0.0
2022-02-23 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-23 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,341.32000732421875,99,0.0
2022-02-24 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-24 09:30:00-05:00,MLTrader,QQQ,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-02-24 09:30:00-05:00,MLTrader,QQQ,buy,limit,fill,1,day,0.0,1,stock,318.43800659179686,66,0.0
2022-02-24 09:30:00-05:00,MLTrader,QQQ,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-02-24 09:30:00-05:00,MLTrader,QQQ,buy,limit,fill,1,day,0.0,1,stock,318.8399963378906,54,0.0
2022-02-24 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,318.8399963378906,118,0.0
2022-02-25 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-25 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-02-25 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,341.87489013671876,99,0.0
2022-02-25 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-02-25 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,344.73320739746094,118,0.0
2022-02-25 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,341.30999755859375,126,0.0
2022-02-26 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-02-26 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,341.30999755859375,126,0.0
2022-03-02 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-02 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,343.0799865722656,73,0.0
2022-03-03 09:30:00-05:00,MLTrader,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-03 09:30:00-05:00,MLTrader,QQQ,buy,stop,fill,1,day,0.0,1,stock,349.92999267578125,73,0.0
2022-03-04 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,QQQ,sell,market,fill,1,gtc,0.0,1,stock,339.8399963378906,72,0.0
2022-03-09 09:30:00-05:00,MLTrader,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
